name,region,year,population,Deaths,income,lifeExpectancy
East Midlands,other conditions,2012,15218.82256,183.8367053,10998.06698,4220.756765
East Midlands,Cardiovascular diseases,2013,2373.199062,135.7749376,261.6550436,2111.544046
East Midlands,Neoplasms,2013,3214.225594,148.801795,166.8706737,3047.354938
East Midlands,other conditions,2013,15210.09835,185.3688616,11003.17404,4206.925502
East Midlands,Cardiovascular diseases,2014,2317.236081,132.6027827,261.5371697,2055.698939
East Midlands,Neoplasms,2014,3187.278056,147.9681572,166.8496077,3020.428466
East Midlands,other conditions,2014,15190.02878,184.4920745,11006.82138,4183.208594
East Midlands,Cardiovascular diseases,2015,2316.858066,132.3169753,261.5607014,2055.297393
East Midlands,Neoplasms,2015,3197.919756,148.9325256,168.0408135,3029.878961
East Midlands,other conditions,2015,15192.97251,186.2085035,11005.32174,4187.651955
East Midlands,Cardiovascular diseases,2016,2307.571046,130.4263127,262.9072158,2044.663859
East Midlands,Neoplasms,2016,3210.479886,149.2778432,169.7945013,3040.685403
East Midlands,other conditions,2016,15196.96225,185.6246154,11007.68367,4189.279768
East Midlands,Cardiovascular diseases,2017,2293.972397,128.7363744,264.3405356,2029.63189
East Midlands,Neoplasms,2017,3211.281792,149.0563672,170.6129107,3040.6689
East Midlands,other conditions,2017,15199.26542,185.1543208,11012.49518,4186.771431
East Midlands,Cardiovascular diseases,2018,2345.499289,132.408866,264.8090841,2080.690234
East Midlands,Neoplasms,2018,3252.463516,151.0388457,172.5116107,3079.951924
East Midlands,other conditions,2018,15251.58739,186.8499557,11040.35578,4211.232797
East Midlands,Cardiovascular diseases,2019,2349.381006,132.6901969,265.2523008,2084.128734
East Midlands,Neoplasms,2019,3254.669223,151.1421798,172.6437709,3082.025471
East Midlands,other conditions,2019,15253.60333,185.2160839,11110.19641,4143.408125
East of England,Cardiovascular diseases,1990,4981.512453,281.7112975,336.3025869,4645.209902
East of England,Neoplasms,1990,4133.566926,178.8374153,154.3900164,3979.176927
